URL,Creator,Type,Description,Title
https://itunes.apple.com/us/audiobook/subtle-art-not-giving-f-ck-counterintuitive-approach/id1145994258?app=itunes,Mark Manson,book,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Unabridged) - Mark Manson,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Unabridged)
https://itunes.apple.com/us/audiobook/the-dark-tower-i-the-gunslinger-unabridged/id1070619860?app=itunes,Stephen King,book,The Dark Tower I: The Gunslinger (Unabridged) - Stephen King,The Dark Tower I: The Gunslinger (Unabridged)
https://itunes.apple.com/us/audiobook/house-of-spies-a-novel-unabridged/id1253118727?app=itunes,Daniel Silva,book,House of Spies: A Novel (Unabridged) - Daniel Silva,House of Spies: A Novel (Unabridged)
https://itunes.apple.com/us/audiobook/camino-island-a-novel-unabridged/id1234674656?app=itunes,John Grisham,book,Camino Island: A Novel (Unabridged) - John Grisham,Camino Island: A Novel (Unabridged)
https://itunes.apple.com/us/audiobook/the-four-agreements-unabridged/id314985433?app=itunes,Don Miguel Ruiz,book,The Four Agreements (Unabridged) - Don Miguel Ruiz,The Four Agreements (Unabridged)
https://itunes.apple.com/us/audiobook/astrophysics-for-people-in-a-hurry-unabridged/id1229202276?app=itunes,Neil de Grasse Tyson,book,Astrophysics for People in a Hurry (Unabridged) - Neil de Grasse Tyson,Astrophysics for People in a Hurry (Unabridged)
https://itunes.apple.com/us/audiobook/how-to-win-friends-influence-people-unabridged/id315598298?app=itunes,Dale Carnegie,book,How to Win Friends & Influence People (Unabridged) - Dale Carnegie,How to Win Friends & Influence People (Unabridged)
https://itunes.apple.com/us/audiobook/rich-dad-poor-dad-what-rich-teach-their-kids-about/id536789367?app=itunes,Robert T. Kiyosaki,book,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! (Unabridged) - Robert T. Kiyosaki,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! (Unabridged)
https://itunes.apple.com/us/audiobook/extreme-ownership-how-u-s-navy-seals-lead-and-win-unabridged/id1044798822?app=itunes,Jocko Willink & Leif Babin,book,Extreme Ownership: How U.S. Navy SEALs Lead and Win (Unabridged) - Jocko Willink & Leif Babin,Extreme Ownership: How U.S. Navy SEALs Lead and Win (Unabridged)
https://itunes.apple.com/us/audiobook/the-handmaids-tale-unabridged/id548783331?app=itunes,Margaret Atwood,book,The Handmaid's Tale (Unabridged) - Margaret Atwood,The Handmaid's Tale (Unabridged)
https://itunes.apple.com/us/audiobook/the-witness/id515303327?app=itunes,Nora Roberts,book,The Witness - Nora Roberts,The Witness
https://itunes.apple.com/us/audiobook/harry-potter-and-the-sorcerers-stone-book-1-unabridged/id1059079353?app=itunes,J.K. Rowling,book,"Harry Potter and the Sorcerer's Stone, Book 1 (Unabridged) - J.K. Rowling","Harry Potter and the Sorcerer's Stone, Book 1 (Unabridged)"
